id,name,lon,lat
328,328,-80.117742,26.614957
329,329,-80.117469,26.622308
330,330,-80.11711,26.631321
331,331,-80.125635,26.625055
332,332,-80.133542,26.63266
333,333,-80.141895,26.6329
334,334,-80.142397,26.622886
335,335,-80.126057,26.613422
336,336,-80.126302,26.606025
337,337,-80.164779,26.659362
338,338,-80.149273,26.656783
339,339,-80.149665,26.642026
340,340,-80.166316,26.64151
341,341,-80.166218,26.628627
342,342,-80.153868,26.624325
343,343,-80.161279,26.621227
344,344,-80.169954,26.621176
345,345,-80.169479,26.609944
346,346,-80.160808,26.610029
347,347,-80.165138,26.596315
348,348,-80.151938,26.596233
349,349,-80.142785,26.595907
350,350,-80.128303,26.600431
351,351,-80.118489,26.596286
352,352,-80.151725,26.61035
353,353,-80.13428,26.613197
354,354,-80.134496,26.60974
355,355,-80.138973,26.606069
356,356,-80.109602,26.614568
357,357,-80.109803,26.60903
358,358,-80.101294,26.604907
359,359,-80.10374,26.596067
360,360,-80.093159,26.604572
361,361,-80.101671,26.608616
362,362,-80.101463,26.614188
363,363,-80.09533,26.615832
364,364,-80.085771,26.613162
365,365,-80.077978,26.613689
366,366,-80.08365,26.605857
367,367,-80.083952,26.595034
368,368,-80.073252,26.594056
369,369,-80.073658,26.60578
370,370,-80.072152,26.615772
371,371,-80.062383,26.61272
372,372,-80.064276,26.60502
373,373,-80.06259,26.597727
374,374,-80.054417,26.641617
375,375,-80.055571,26.629331
376,376,-80.055825,26.620253
377,377,-80.055941,26.616235
378,378,-80.056025,26.611551
379,379,-80.055694,26.605128
380,380,-80.054246,26.598507
381,381,-80.047714,26.641458
382,382,-80.047688,26.620181
383,383,-80.048286,26.61226
384,384,-80.048305,26.604728
385,385,-80.040511,26.602971
386,386,-80.044073,26.574357
387,387,-80.046504,26.550924
388,388,-80.048583,26.536416
389,389,-80.051387,26.520851
390,390,-80.053185,26.511069
391,391,-80.05496,26.499436
392,392,-80.057628,26.482982
393,393,-80.055297,26.590361
394,394,-80.048913,26.590425
395,395,-80.061182,26.583287
396,396,-80.049648,26.578682
397,397,-80.061952,26.57582
